Year,gdp_growth,gdp_per_capita,inflation_cpi,unemployment_rate,government_debt_percent_gdp,government_consumption_percent,exports_percent_gdp,imports_percent_gdp,current_account_balance_percent,gross_capital_formation_percent,fdi_inflows_percent,poverty_rate,gini_index,oil_rent_percent,natural_resource_rent_percent
1977,6.27078351298829,2585.22051087846,,,,14.2941184026306,27.0967078982184,35.0516999987155,-8.77917357070376,50.2780881918487,-0.00828484451466225,,,15.7438348333444,16.1985343555775
1976,7.72773984679837,2309.19293494983,,,,14.181815490289,29.7245825438181,28.8650225011843,0.808414258645192,41.6143859545239,-2.82944990525817,,,22.1509399998971,22.9931513860828
1975,2.89625778007183,2078.1534203511,,,,13.0283324019035,32.8577113922336,24.9915324560958,7.90470626090196,37.364392284374,1.52195634134363,,,24.0233622156042,24.8915014056924
1974,2.06933320169247,2033.51900797712,,,,11.0362278810343,42.9378797868738,18.5374307250922,22.0681789831958,29.056346561648,-1.64745086159274,,,33.3402278252986,33.9478841729493
1973,7.10995789495608,1366.83361997071,,,,12.6818014279279,28.666129714824,19.1548469004682,5.14804854408693,35.4033281913369,-0.493085607415396,,,10.2866739191916,10.7554427076038
1972,1.28280503619366,1155.26236263344,,,,13.3740366166954,23.2867223830119,19.9824395954603,-0.722578127540568,37.7621865955579,-2.68999382133914,,,6.69174635347221,7.19271915747182
1971,1.47929120998987,1106.08824294225,,,,13.2094293064525,25.2333700845277,18.9672914369717,-0.0847027528394673,36.2410528342171,1.62475280446615,,,6.78719222962612,7.38794104909662
1970,7.71191438124387,1015.21990755986,,,,12.276213358962,23.2505526189332,18.7863527150408,-0.899567515617492,36.5499279192696,-0.198942815953868,,,4.79927244945126,5.48772130601331
1969,0.706036796156368,931.598755748143,,,,12.7539269278137,24.4625456431087,19.8625845342782,,33.975541775598,,,,,
1968,7.33723265821627,938.015078662499,,,,12.21525855387,25.2877865131215,19.5017163104861,,32.4670579116377,,,,,
1967,2.83386903098939,892.985315556393,,,,12.0888888888889,27.2,17.4359159159159,,26.8744744744745,,,,,
1966,1.51025011101866,875.956231715029,,,,11.9994432634882,27.6720821945541,17.141917198097,,27.2557951209637,,,,,
1965,4.16286666476383,869.041067890496,,,,11.4821357943309,29.087936717205,19.1369808833223,,27.9654581410679,,,,,
1964,11.1293452932631,873.604754880876,,,,11.1316889749418,30.1731346634116,17.9880461318293,,29.0122625361282,,,,,
1963,3.90095116381761,1060.09433210388,,,,12.053998632946,32.0418815634127,15.1826881252719,,22.3420120549307,,,,,
1962,8.53293376290748,1006.55940812318,,,,11.2802709568163,32.6753598645216,16.9039796782388,,24.0443691786622,,,,,
1961,3.19251943889351,954.038330638213,,,,11.3513913558319,31.7155121373594,16.940127294257,,23.7992155121374,,,,,
1960,,939.197766577539,,,,13.4665575941724,30.4335631646605,18.1484944100347,,24.56818978614,,,,,
